aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL000728	AGAP007333	1:1	
AAEL000730	AGAP007335	1:1	547845
AAEL000747	AGAP007336	1:1	807421
AAEL000751	AGAP007338	1:1	815192
AAEL000744	AGAP007339	1:1	
AAEL000738	AGAP006653	1:1	531417
AAEL000733	AGAP006654	1:1	550221
AAEL000723	AGAP006655	1:1	814865
AAEL000721	AGAP006657	1:1	686372
AAEL000724	AGAP006658	1:1	681946
AAEL000750	AGAP006659	1:1	700034
AAEL000746	AGAP006660	1:1	847141
AAEL000722	AGAP011059	1:1	856062
AAEL000742	AGAP006069	1:1	672069
AAEL006652	AGAP010072	1:1	547506
AAEL006648	AGAP010073	1:1	827872
AAEL006650	AGAP010067	1:1	798230
AAEL006659	AGAP001217	1:1	855156
AAEL006642	AGAP010971	n:1	
AAEL006641	AGAP001222	1:1	829370
AAEL006655	AGAP001220	1:1	
AAEL006658	AGAP001225	1:1	268845
AAEL006661	AGAP001228	1:1	734740
AAEL006643	AGAP001226	1:1	338912
AAEL006639	AGAP004911	1:1	686454
AAEL006647	AGAP001229	1:1	752105
AAEL006646	AGAP010020	1:1	807518
AAEL006654	AGAP010019	1:1	799737
AAEL006660	AGAP010018	1:m	
AAEL006660	AGAP012743	1:m	530792
AAEL006649	AGAP010017	1:1	716064
AAEL006667	AGAP008631	1:1	665135
AAEL006668	AGAP008627	1:1	804186
AAEL006676	AGAP008626	1:1	739631
AAEL006669	AGAP008625	1:1	775650
AAEL006678	AGAP008624	1:1	
AAEL006683	AGAP008623	1:1	339594
AAEL006677	AGAP008620	1:1	
AAEL006666	AGAP008621	1:1	711963
AAEL006684	AGAP009949	1:1	
AAEL006680	AGAP009950	1:1	580857
AAEL006675	AGAP009952	1:1	548497
AAEL006685	AGAP009953	1:1	853466
AAEL006663	AGAP009954	n:1	516772
AAEL006682	AGAP009935	n:1	
AAEL006702	AGAP010759	1:m	
AAEL006702	AGAP011225	1:m	592026
AAEL006702	AGAP011276	1:m	
AAEL006698	AGAP011896	1:1	804033
