ID	pvalue	algorithm
ENSMUSG00000024960	0.065211264959513	RAIN
ENSMUSG00000025739	0.00448317549869031	RAIN
ENSMUSG00000025892	0.125539475768135	RAIN
ENSMUSG00000025958	0.00448317549869031	RAIN
ENSMUSG00000026567	0.0598223730606489	RAIN
ENSMUSG00000026824	0.016344618332801	RAIN
ENSMUSG00000026959	0.182853017935477	RAIN
ENSMUSG00000027523	0.00976418144863265	RAIN
ENSMUSG00000027669	0.016344618332801	RAIN
ENSMUSG00000028957	0.00976418144863265	RAIN
ENSMUSG00000029064	0.016344618332801	RAIN
ENSMUSG00000029334	0.00976418144863265	RAIN
ENSMUSG00000029361	0.0866393905191874	RAIN
ENSMUSG00000029713	0.00976418144863265	RAIN
ENSMUSG00000029778	0.00976418144863265	RAIN
ENSMUSG00000030102	0.016344618332801	RAIN
ENSMUSG00000030209	0.0351054831731161	RAIN
ENSMUSG00000030592	0.00627821670428894	RAIN
ENSMUSG00000031659	0.0351054831731161	RAIN
ENSMUSG00000031748	0.065211264959513	RAIN
ENSMUSG00000032034	0.0835025019476239	RAIN
ENSMUSG00000032192	0.00448317549869031	RAIN
ENSMUSG00000032246	0.0204738900391074	RAIN
ENSMUSG00000032562	0.0598223730606489	RAIN
ENSMUSG00000032766	0.0592602037202318	RAIN
ENSMUSG00000033981	0.0866393905191874	RAIN
ENSMUSG00000036402	0.00448317549869031	RAIN
ENSMUSG00000036438	0.016344618332801	RAIN
ENSMUSG00000038026	0.125539475768135	RAIN
ENSMUSG00000038473	0.0335896589139972	RAIN
ENSMUSG00000038607	0.00976418144863265	RAIN
ENSMUSG00000038811	0.016344618332801	RAIN
ENSMUSG00000039943	0.00976418144863265	RAIN
ENSMUSG00000040061	0.0792378917378917	RAIN
ENSMUSG00000041624	0.0835025019476239	RAIN
ENSMUSG00000042644	0.065211264959513	RAIN
ENSMUSG00000043301	0.016344618332801	RAIN
ENSMUSG00000048240	0.0575572801182556	RAIN
ENSMUSG00000049892	0.00976418144863265	RAIN
ENSMUSG00000050901	0.956981664315938	RAIN
ENSMUSG00000050965	0.00448317549869031	RAIN
ENSMUSG00000051177	0.0335896589139972	RAIN
ENSMUSG00000051331	0.016344618332801	RAIN
ENSMUSG00000052889	0.0321067821067822	RAIN
ENSMUSG00000052920	0.0840106314414614	RAIN
ENSMUSG00000053819	0.0592602037202318	RAIN
ENSMUSG00000054764	0.0575572801182556	RAIN
ENSMUSG00000055866	0.00976418144863265	RAIN
ENSMUSG00000057378	0.00976418144863265	RAIN
ENSMUSG00000057614	0.0592602037202318	RAIN
ENSMUSG00000057897	0.158735690622232	RAIN
ENSMUSG00000059003	0.0351054831731161	RAIN
ENSMUSG00000063065	0.158735690622232	RAIN
ENSMUSG00000063130	0.956981664315938	RAIN
ENSMUSG00000063358	0.065211264959513	RAIN
ENSMUSG00000063594	0.0792378917378917	RAIN
ENSMUSG00000068523	0.0866393905191874	RAIN
ENSMUSG00000078816	0.016344618332801	RAIN
ENSMUSG00000000001	0.169306341884238	empJTK
ENSMUSG00000001175	0.0331105351742179	empJTK
ENSMUSG00000001986	0.0239731205881416	empJTK
ENSMUSG00000002771	0.0858016383453828	empJTK
ENSMUSG00000005034	0.121420042841359	empJTK
ENSMUSG00000005469	0.0669972937792729	empJTK
ENSMUSG00000005580	0.053879171992303	empJTK
ENSMUSG00000015968	0.053879171992303	empJTK
ENSMUSG00000019370	0.121420042841359	empJTK
ENSMUSG00000020431	0.0239229354209271	empJTK
ENSMUSG00000020524	0.2050373587275	empJTK
ENSMUSG00000020654	0.0858016383453828	empJTK
ENSMUSG00000020734	0.169306341884238	empJTK
ENSMUSG00000020866	0.0331105351742179	empJTK
ENSMUSG00000020893	0.0239731205881416	empJTK
ENSMUSG00000021180	0.101001559065733	empJTK
ENSMUSG00000021250	0.0191546850602118	empJTK
ENSMUSG00000021313	0.141596930345347	empJTK
ENSMUSG00000021536	0.0858016383453828	empJTK
ENSMUSG00000021820	0.121420042841359	empJTK
ENSMUSG00000021933	0.0191546850602118	empJTK
ENSMUSG00000022220	0.0191546850602118	empJTK
ENSMUSG00000022376	0.101001559065733	empJTK
ENSMUSG00000022416	0.0331105351742179	empJTK
ENSMUSG00000022840	0.121420042841359	empJTK
ENSMUSG00000022994	0.0191546850602118	empJTK
ENSMUSG00000023439	0.0239731205881416	empJTK
ENSMUSG00000024112	0.0239229354209271	empJTK
ENSMUSG00000024256	0.0191546850602118	empJTK
ENSMUSG00000024617	0.0858016383453828	empJTK
ENSMUSG00000024639	0.0191546850602118	empJTK
ENSMUSG00000024960	0.169306341884238	empJTK
ENSMUSG00000025739	0.0239731205881416	empJTK
ENSMUSG00000025892	0.0858016383453828	empJTK
ENSMUSG00000025958	0.0669972937792729	empJTK
ENSMUSG00000026567	0.0486555223570452	empJTK
ENSMUSG00000026824	0.0191546850602118	empJTK
ENSMUSG00000026959	0.225622589301092	empJTK
ENSMUSG00000027523	0.0331105351742179	empJTK
ENSMUSG00000027669	0.0669972937792729	empJTK
ENSMUSG00000028957	0.169306341884238	empJTK
ENSMUSG00000029064	0.04777770722078	empJTK
ENSMUSG00000029334	0.0239229354209271	empJTK
ENSMUSG00000029361	0.0858016383453828	empJTK
ENSMUSG00000029713	0.0191546850602118	empJTK
ENSMUSG00000029778	0.0669972937792729	empJTK
ENSMUSG00000030102	0.0331105351742179	empJTK
ENSMUSG00000030209	0.0669972937792729	empJTK
ENSMUSG00000030592	0.121420042841359	empJTK
ENSMUSG00000031659	0.0629797305018028	empJTK
ENSMUSG00000031748	0.0629797305018028	empJTK
ENSMUSG00000032034	0.0669972937792729	empJTK
ENSMUSG00000032192	0.0820853648355018	empJTK
ENSMUSG00000032246	0.0820853648355018	empJTK
ENSMUSG00000032562	0.0820853648355018	empJTK
ENSMUSG00000032766	0.225622589301092	empJTK
ENSMUSG00000033981	0.303782421184	empJTK
ENSMUSG00000036402	0.0820853648355018	empJTK
ENSMUSG00000036438	0.0669972937792729	empJTK
ENSMUSG00000038026	0.0858016383453828	empJTK
ENSMUSG00000038473	0.0331105351742179	empJTK
ENSMUSG00000038607	0.0820853648355018	empJTK
ENSMUSG00000038811	0.2050373587275	empJTK
ENSMUSG00000039943	0.0191546850602118	empJTK
ENSMUSG00000040061	0.0669972937792729	empJTK
ENSMUSG00000041624	0.0669972937792729	empJTK
ENSMUSG00000042644	0.0331105351742179	empJTK
ENSMUSG00000043301	0.0669972937792729	empJTK
ENSMUSG00000048240	0.0858016383453828	empJTK
ENSMUSG00000049892	0.0191546850602118	empJTK
ENSMUSG00000050901	0.0669972937792729	empJTK
ENSMUSG00000050965	0.0331105351742179	empJTK
